id,fractal_id,symbol,direction,entry_price,sl_initial,volume_total,volume_per,status,source_timeframe,created_at
4203,864797,XAUUSDc,BUY,4107.38044,4099.045,0.02,0.02,closed,5min,2026-07-02T16:40:09.560784
4202,864793,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T16:40:08.133768
4201,864650,XAUUSDc,BUY,4105.29312,4086.378,0.02,0.02,closed,5min,2026-07-02T16:36:08.881675
4200,864501,XAUUSDc,BUY,4107.38044,4099.045,0.02,0.02,closed,5min,2026-07-02T16:30:21.600502
4199,864445,XAUUSDc,SELL,4114.942279999999,4120.521,0.02,0.02,closed,15min,2026-07-02T16:30:18.797712
4198,864131,XAUUSDc,SELL,4119.54148,4122.596,0.02,0.02,closed,5min,2026-07-02T16:26:14.650531
4197,864128,XAUUSDc,SELL,4120.79056,4124.598,0.02,0.02,closed,5min,2026-07-02T16:26:13.872720
4196,863836,XAUUSDc,SELL,4122.35716,4126.11,0.02,0.02,closed,5min,2026-07-02T16:16:20.970667
4195,863174,XAUUSDc,SELL,4162.43592,4204.985,0.02,0.02,closed,30min,2026-07-02T16:16:12.406703
4194,863171,XAUUSDc,SELL,4127.069439999999,4134.98,0.02,0.02,closed,30min,2026-07-02T16:16:10.521366
4193,863010,XAUUSDc,SELL,4138.80796,4161.36,0.02,0.02,closed,2H,2026-07-02T16:16:08.869047
4192,863009,XAUUSDc,SELL,4180.46072,4271.286,0.02,0.02,closed,2H,2026-07-02T16:16:07.281262
4191,863498,XAUUSDc,SELL,4127.34732,4132.095,0.02,0.02,closed,5min,2026-07-02T16:10:49.787862
4190,863460,XAUUSDc,SELL,4127.04856,4134.951,0.02,0.02,closed,5min,2026-07-02T16:10:47.979939
4189,863429,XAUUSDc,BUY,4109.06164,4093.627,0.02,0.02,closed,5min,2026-07-02T16:10:45.701972
4188,863397,XAUUSDc,BUY,4105.29312,4086.378,0.02,0.02,closed,5min,2026-07-02T16:10:43.716706
4187,863257,XAUUSDc,BUY,4076.8164,4027.212,0.02,0.02,closed,15min,2026-07-02T16:10:40.432890
4186,863253,XAUUSDc,BUY,4062.21232,3997.174,0.02,0.02,closed,15min,2026-07-02T16:10:38.774853
4185,863116,XAUUSDc,BUY,4091.28024,4028.394,0.02,0.02,closed,30min,2026-07-02T16:10:32.003873
4184,863114,XAUUSDc,BUY,4066.5301999999997,4005.143,0.02,0.02,closed,30min,2026-07-02T16:10:30.363079
4183,863112,XAUUSDc,BUY,4093.963,3962.365,0.02,0.02,closed,30min,2026-07-02T16:10:28.722566
4182,862896,XAUUSDc,BUY,4087.8403200000002,3915.954,0.02,0.02,closed,2H,2026-07-02T16:10:21.759609
4181,862895,XAUUSDc,BUY,4102.34616,4065.984,0.02,0.02,closed,2H,2026-07-02T16:10:20.029086
4180,862661,XAUUSDc,BUY,4076.05612,3915.301,0.02,0.02,closed,4H,2026-07-02T16:10:18.061859
4179,862110,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T15:46:19.208557
4178,862077,XAUUSDc,SELL,4134.7602,4141.483,0.02,0.02,closed,15min,2026-07-02T15:46:17.260538
4177,862076,XAUUSDc,SELL,4128.13564,4133.319,0.02,0.02,active,15min,2026-07-02T15:46:15.621496
4176,861200,XAUUSDc,BUY,4093.0968399999997,3962.365,0.02,0.02,closed,30min,2026-07-02T15:46:13.052316
4175,860820,XAUUSDc,BUY,4080.3609599999995,3915.954,0.02,0.02,closed,2H,2026-07-02T15:46:09.830733
4174,861857,XAUUSDc,SELL,4128.36388,4133.636,0.02,0.02,closed,5min,2026-07-02T15:42:42.413207
4173,861737,XAUUSDc,BUY,4126.267400000001,4108.595,0.02,0.02,active,5min,2026-07-02T15:42:40.700975
4172,861734,XAUUSDc,BUY,4126.04468,4122.521,0.02,0.02,closed,5min,2026-07-02T15:42:39.071505
4171,861621,XAUUSDc,SELL,4131.33972,4141.483,0.02,0.02,closed,15min,2026-07-02T15:42:37.314854
4170,861592,XAUUSDc,SELL,4127.069439999999,4134.98,0.02,0.02,closed,15min,2026-07-02T15:42:35.663512
4169,861432,XAUUSDc,BUY,4111.823439999999,4052.278,0.02,0.02,closed,15min,2026-07-02T15:42:33.943086
4168,860691,XAUUSDc,SELL,4183.974120000001,4246.252,0.02,0.02,closed,4H,2026-07-02T15:42:27.006350
4167,860647,XAUUSDc,SELL,4141.54804,4161.36,0.02,0.02,closed,4H,2026-07-02T15:42:25.197466
4166,860116,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T15:40:06.533861
4165,860067,XAUUSDc,SELL,4134.36016,4139.296,0.02,0.02,closed,5min,2026-07-02T15:36:13.368881
4164,859965,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T15:36:11.510808
4163,859600,XAUUSDc,SELL,4133.1066,4143.937,0.02,0.02,closed,30min,2026-07-02T15:36:09.906767
4162,859596,XAUUSDc,SELL,4162.43592,4204.985,0.02,0.02,closed,30min,2026-07-02T15:36:08.376356
4161,859923,XAUUSDc,SELL,4124.84488,4127.415,0.02,0.02,active,5min,2026-07-02T15:30:43.764540
4160,859922,XAUUSDc,SELL,4127.34732,4132.095,0.02,0.02,closed,5min,2026-07-02T15:30:42.007227
4159,859884,XAUUSDc,SELL,4127.04856,4134.951,0.02,0.02,closed,5min,2026-07-02T15:30:40.154321
4158,859813,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T15:30:38.368716
4157,859781,XAUUSDc,SELL,4128.13564,4133.319,0.02,0.02,closed,15min,2026-07-02T15:30:36.588909
4156,859678,XAUUSDc,BUY,4076.8164,4027.212,0.02,0.02,closed,15min,2026-07-02T15:30:34.684847
4155,859674,XAUUSDc,BUY,4062.21232,3997.174,0.02,0.02,closed,15min,2026-07-02T15:30:32.966644
4154,859538,XAUUSDc,BUY,4091.28024,4028.394,0.02,0.02,closed,30min,2026-07-02T15:30:25.877459
4153,859536,XAUUSDc,BUY,4066.5301999999997,4005.143,0.02,0.02,closed,30min,2026-07-02T15:30:24.111926
4152,859534,XAUUSDc,BUY,4093.963,3962.365,0.02,0.02,closed,30min,2026-07-02T15:30:22.315009
4151,859338,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T15:26:07.907483
4150,859320,XAUUSDc,SELL,4123.32204,4128.791,0.02,0.02,active,5min,2026-07-02T15:20:17.243631
4149,859296,XAUUSDc,SELL,4124.84488,4127.415,0.02,0.02,closed,5min,2026-07-02T15:20:15.362601
4148,859295,XAUUSDc,SELL,4127.34732,4132.095,0.02,0.02,closed,5min,2026-07-02T15:20:13.577758
4147,859257,XAUUSDc,SELL,4127.04856,4134.951,0.02,0.02,closed,5min,2026-07-02T15:20:11.687066
4146,859224,XAUUSDc,BUY,4109.06164,4093.627,0.02,0.02,closed,5min,2026-07-02T15:20:09.718446
4145,859191,XAUUSDc,BUY,4105.29312,4086.378,0.02,0.02,closed,5min,2026-07-02T15:20:08.041956
4144,859186,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T15:20:06.524991
4143,859144,XAUUSDc,SELL,4124.84488,4127.415,0.02,0.02,closed,5min,2026-07-02T15:16:33.380254
4142,859143,XAUUSDc,SELL,4127.34732,4132.095,0.02,0.02,closed,5min,2026-07-02T15:16:31.449658
4141,859105,XAUUSDc,SELL,4127.04856,4134.951,0.02,0.02,closed,5min,2026-07-02T15:16:29.521178
4140,859072,XAUUSDc,BUY,4109.06164,4093.627,0.02,0.02,closed,5min,2026-07-02T15:16:27.609501
4139,859039,XAUUSDc,BUY,4105.29312,4086.378,0.02,0.02,closed,5min,2026-07-02T15:16:25.685248
4138,859034,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T15:16:23.858513
